title;album;release year;additional info;lyrics
True Men Don't Kill Coyotes;The Red Hot Chili Peppers;1984;;"Hoo, lord!
I'm gonna ride a sabertooth horse
Through the Hollywood hills
The farther west – the farther out
Yeah, that's the way I feel
Well, I dig the dirt and I dig the dust
I barbecue my meals
Riding wild on a paisley dragon
Through the Hollywood hills, yeah
Huh, Hollywood hills
I'm gonna ride a sabertooth horse
Through the Hollywood hills
Just don't tell me anything
'Cause that's the way I feel
Well, I dig the dirt and I dig the dust
I barbecue my meals
Riding wild on a paisley dragon
Through the Hollywood hills, yeah
Huh, Hollywood hills
Passion drippin' from the coyote's eyes
He can taste his blood
And blood never lies, pale face die
True men don't kill coyotes
True men don't kill coyotes
I'm gonna ride a sabertooth horse
Through the Hollywood hills
The farther west – the farther out
Yeah, that's the way I feel
Well, I dig the dirt and I dig the dust
I barbecue my meals
Riding wild on a paisley dragon
Through the Hollywood hills, yeah
Huh, Hollywood hills
Passion drippin' from the coyote's eyes
He can taste his blood
And blood never lies, pale face die
True men don't kill coyotes
True men don't kill coyotes
I'm gonna ride a sabertooth horse
Through the Hollywood hills
Just don't tell me anything
'Cause that's the way I feel
Well, I dig the dirt
And I dig the dust
I barbecue my meals
Riding wild on a paisley dragon
Through the Hollywood hills, yeah
Huh, Hollywood hills
Passion drippin' from the coyote's eyes
He can taste his blood
And blood never lies, pale face die
True men don't kill coyotes
True men don't
True men don't kill coyotes
True men don't
Aah!
True men don't kill coyotes
True men don't
"
Baby Appeal;The Red Hot Chili Peppers;1984;;"On the city streets, I got the tunes in my box
I'll play the Chili Pepper so the public can rock
Excuse me mister, won't you hear my thought?
I play in a band, yeah, we're called the Red Hots
Out of my way, boy, I'm afraid not
I've got no time to think and talk
But this baby rocked out on the spot
She was a shakin' and a kickin', that itty bitty tot
Her pop said no, but she just couldn't stop
The kid had a case of toddler rock
But here's a funky fact that I know is real
The Red Hots have baby appeal
They dig a funky spiel, it makes them squeal
The Chili Peppers have baby appeal
The funk mobile is the one we reel
I'm overjoyed, we have baby appeal
We serve those tots the funk-o-meal
I'm overjoyed, we have baby appeal
We stoke the fire, we crank the heat
Four groove dog brothers funkin' out in the streets
Rockin' up a storm when who do we meet
But the hop, skip, jump up bumpin' baby de beat
She was a shaking and a kicking those itty bitty feet
The next thing you know was she called out her fleet
Five thousand babies rocking out in the street
Well, that's a serious sight I mean and golly gee whizz!
I just can't tell you how much we dig
Rocking right out for those itty bitty kids, rock out
Well here's a funky fact that I know is real
The Red Hots have baby appeal
They dig a funky spiel, it makes them squeal
I say the Peppers have baby appeal
The funk mobile is the one we reel
I'm overjoyed, we have baby appeal
We serve those tots in the funk-o-meal
I'm overjoyed, we have baby appeal, so get down!
Got the tunes in my box
Baby appeal
Rock out!
Play the chili, play the chili, play the chili
Yes, we're called the Red...Hots
On the city streets, I got the tunes in my box
I'll play the Chili Pepper so the public can rock
Excuse me mister, won't you hear my thought?
I play in a band, yeah, we're called the Red Hots
Out of my way, boy, I'm afraid not
I've got no time to think and talk
But this baby rocked out on the spot
She was a shakin' and a kickin', that itty bitty tot
Her pop said no, but she just couldn't stop
The kid had a case of toddler rock
But here's a funky fact that I know is real
The Red Hots have baby appeal
They dig a funky spiel, it makes them squeal
I say the Peppers have baby appeal
The funk mobile is the one we reel
I'm overjoyed, we have baby appeal
We serve those tots in the funk-o-meal
I'm overjoyed, we have baby appeal
"
Buckle Down;The Red Hot Chili Peppers;1984;;"Hot off the ice, no hole in my soul
We are men, not mice, no stopping my role
Hot yea twist, red star, black fist
Work hard, play more, just turn me loose
I know what's right in life, you better buckle down
Don't give up the fight in life, you better buckle down
Trail blaze with might in life, you better buckle down
Live dreams tonight in life, you better buckle down
'Cause I know what's right!
Hot off the ice, no hole in my soul
We are men, not mice, no stopping my role
Hot yea twist, red star, black fist
Work hard, play more, just turn me loose
I know what's right in life, you better buckle down
Don't give up the fight in life, you better buckle down
Trail blaze with might in life, you better buckle down
Live dreams tonight in life, you better buckle down
'Cause I know what's right!
I know, I know, I know what's right!
I know, I know, I know what's right!
I know, I know, I know what's right!
I know, I know, I know what's right!
"
Get Up And Jump;The Red Hot Chili Peppers;1984;;"Get up and jump, get up and jump, get up, get up, get up and jump
Jump on up
Jump on down
Just jump a jump a jump a jump a jump around
Jump the day away
Jump all over town
Because jumping is okay in a jumping kinda way, hey hey
Jump a boy
Jump a girl
Jump a rope
Jump for joy
Just don't stop jumping
Keep your heart muscle pumping
Hillel be jumping on that little baby Frumpkin
Say what, You got a pumpkin in your pants
When you're just standing or sitting still
Think about the frogs getting a thrill
Take a little lesson from the kangaroos
Don't you know they're jumping foos, jump you
Jump a nun
Jump a Jack
Jump for fun
Jump back
How's about us jumping in the sack?
And now, it's time for a jump attack
Get up and jump
Get up and jump
Get up and jump
Get up and jump
Get up and jump
Get up and jump
Get up and jump
Get up and jump
Jam Bob, Jim Bob, Slim Bob Boogie
To the tune of slima Billy
Looking like you're mighty silly
Say what, you got a pumpkin in your pants
Jam Bob, Jim Bob, Slim Bob Boogie
To the tune of slima Billy
Looking like you're mighty silly
Say what, you got a pumpkin in your pants
Mister Mexican jumping bean knows
His fun is squeaky clean
Christ, how'd you think that he got so clean
Not from sitting on his goddamn spleen. Get up
Oh, I be jumping I be jumping I be jumping alone
I be jumping for the phone
I be jumping Misses Jones
I really want to jump on Kinski's bones
Get up and jump
Get up and jump
Get up and jump
Get up and jump
Get up and jump
Get up and jump
Get up and jump
Get up and jump
Get up and jump
Get up and jump
Get up and jump
Get up and jump
Get up and jump
Get up and jump
Get up and jump
Get up and jump
Jam Bob, Jim Bob, Slim Bob Boogie
To the tune of slima Billy
Looking like you're mighty silly
Say what, you got a pumpkin in your pants
Jam Bob, Jim Bob, Slim Bob Boogie
To the tune of slima Billy
Looking like you're mighty silly
Say what, you got a pumpkin in your pants
"
Why Don't You Love Me;The Red Hot Chili Peppers;1984;;"Why don't you love me like you used to do?
How come you treat me like a worn out shoe?
My hair's still curly and my eyes are still blue
So why don't you love me like you used to do?
Why don't you spot me like you used to do?
When you whisper sweet nothings like you used to do
I'm the same old trouble that you've always been through
So why don't you love me like you used to do?
Oh, why don't you be the way you used to be?
How come you find so many faults with me?
Somebody changed, so let me give you a clue
Why don't you love me like you used to do?
Why don't you say the things you used to say?
How come you treat me like a piece of clay?
My hair's still curly and my eyes are still blue
So why don't you love me like you used to do?
Ain't had no lovin' like a huggin' and a kissin'
In a long, long while
We don't get nearer or further or closer
Than a country mile
Why don't you love me like you used to do?
How come you treat me like a worn out shoe?
My hair's still curly and my eyes are still blue
So why don't you love me like you used to do?
Why don't you spot me like you used to do?
When you whisper sweet nothings like you used to do
I'm the same old trouble that you've always been through
So why don't you love me like you used to do?
Oh, why don't you be the way you used to be?
How come you find so many faults with me?
Somebody changed, so let me give you a clue
Why don't you love me like you used to do?
Why don't you say the things you used to say?
How come you treat me like a piece of clay?
My hair's still curly and my eyes are still blue
So why don't you love me like you used to do?
Ain't had no lovin' like a huggin' and a kissin'
In a long, long while
We don't get nearer or further or closer
Than a country mile
"
Green Heaven;The Red Hot Chili Peppers;1984;;"About this planet, there is something I know
There's a very big difference between above and below
A friend, foe, or bro, leave your body on the floor
Let your spirit fly away like the soul of a crow
Here, above land, man has laid his plan
And yes, it does include the Ku Klux Klan
We got a government so twisted and bent
Bombs, tanks and guns is how our money is spent
We got V.D., heroin, greed and prostitution
Tension, aggravation, L. Ron Hubbard solution
Not to mention hard-core chemical pollution
If you think a different way, you're in a mental institution
And that's a heart felt shame
'Cause everyone's crazy, everyone's the same
So, why should only Larry, Curly and Moe be to blame?
Time now take you to a different place
Where peace-loving whales flow through liquid outer space
A grooving and a gliding as graceful as lace
A never-losing touch with ocean's embrace
Diviner than the dolphin, that there is none
'Cause dolphins just-a like to have a lot of fun
No one tells 'em how their life is run
And no one points at 'em with a gun
They have a lot of love for every livin' creature
The smile of a dolphin is a built-in feature
They be movin' in schools but everyone's the teacher
Someday mister dolphin, I know I'm going to meet ya
Back to the land of the police man
Where he does whatever he says he can
Including hating you because you're a Jew
Or beating black ass, that's nothing new
A trigger-happy cops, they just like to brawl
They use guns, clubs, gas, but that's not all
They got puke-ridden prisons and sex-sick jails
Fuck the poor, if you're rich you pay the bail
So support your police, support your local wars
That's the way to open economic doors
Why do we do it? 'Cause the president's a whore
We assume the position to sell the ammunition
What the fuck? It's the American tradition
Along with goin' fishin', apple pies in the kitchen
Isn't it bitchin' seeing dead men in ditches?
"
Mommy Where's Daddy;The Red Hot Chili Peppers;1984;;"Mommy, where's daddy?
Mommy, where's daddy?
Right here, girl
Oh, sweet thing, you look so sad
Cheer up, don't you know your dad is bad?
Give daddy a kiss, girl
Oh, dad
There ain't one problem I can't fix, 'cause
Your daddy's got a big old bag-o-trix
Give daddy a kiss, girl
Oh, dad
Mommy, where's daddy?
Mommy, where's daddy?
Come on, sit on your daddy's lap 'cause
I'm the one who pats yo back
Give daddy a kiss, girl
Oh, dad
Well, lemme see now where to begin
Well, lemme start by tuckin' you in
Give daddy a kiss, girl
Oh, dad
Mommy, where's daddy?
"
Out In L.A.;The Red Hot Chili Peppers;1984;;"We're all a bunch of brothers living in a cool way
Along with six million others in this place called LA
LA is the place, sets my mind ablaze
For me, it's a race through a cotton-picking maze
The town makes me jump, it's got a bunch of bad chicks
Well sure, it's got some chumps, but I still get my kicks
My body loves to scrump when I lick the ripe pick
Alike dump on a thumb
Pop hump, hump, hump, pop out
The action never stops, I'm as wild as can be
Because I'm shooting for the top, and my best friend's a Flea
Oom Chucka Willy knew the balls could pop
But he never met the tree, so he never bebopped, hop out
Antoine the Swan, from the pretty fish pond
Was a bad mother jumper, you could tell he was strong
Wore a cold paisley jacket and a hella fine ass
In between his legs was a sweet young lass
Threw a hundred women up against the wall
And he swore to fear that he'd love them all
By the time he got to ninety-nine, he had to stop
'Cause that's when he thought that he heard a fop
Last night and the night before
I heard a fop outside, then I
Came indoors! Rock out!
Now that I told ya somethin' about the Flea
Somethin' 'bout the Tree
A little somethin' 'bout me
I can't leave you hanging 'bout my man Sherm Zee
He swings the yin, he bangs the yang
And now, it's time to hear him do his thang
You better be burnin' Sherman!
We're all a bunch of brothers living in a cool way
Along with six million others in this place called LA
Step out!
"
Police Helicopter;The Red Hot Chili Peppers;1984;;"Aw!
Police helicopter sharking through the sky
Police helicopter landin' on my eye
Yeah!
Police helicopter takes a nosedive
Police helicopter, no, he ain't shy
Yeah!
Police helicopter sharking through the sky
Police helicopter landin' on my eye
Yeah!
Police helicopter don't take nosedive
Police helicopter, no, he ain't shy
Aw!
"
You Always Sing;The Red Hot Chili Peppers;1984;;"You always sing, you always sing the
You always sing the same
You always sing, you always sing the
You always sing the same
You always sing, you always sing the
You always sing the same
You always sing, you always sing the
You always sing the same
You always sing, you always sing the
You always sing the same
"
